local date,local time,city,lat,lon,aqi,h,no2,o3,p,pm10,pm25,so2,t,w,wg,co,dew
2020-03-17,23:00:00,"Brescia Villaggio Sereno, Lombardia, Italy",45.515945,10.21914764,102,77.0,35.2,37.4,1012.2,40.0,102.0,1.6,7.4,0.9,1.8,,
2020-03-17,23:00:00,"Villa Fulvia, Emilia Romagna, Italy",44.824263,11.649618,74,46.0,17.9,39.8,1029.3,28.0,74.0,,13.8,1.0,,0.1,
2020-03-17,23:00:00,"Caorle, Emilia Romagna, Italy",44.419261,12.225385,72,74.0,22.9,38.6,1030.2,26.0,72.0,5.1,11.6,1.0,7.0,0.1,
2020-03-19,06:00:00,"I.t.i.s. Argine, Napoli, Campania, Italy",40.86427,14.34108,90,70.0,27.1,,1025.0,35.0,90.0,2.1,9.0,1.5,11.3,6.4,4.0
2020-03-17,23:00:00,"Dalmine via Verdi, Lombardia, Italy",45.64971,9.60123469,104,75.0,34.3,,1026.0,33.0,104.0,,8.0,1.8,,0.1,4.0
2020-03-17,23:00:00,"Pavia Folperti, Lombardia, Italy",45.19468231,9.16464919,41,81.0,22.0,40.7,1027.6,32.0,,12.7,7.9,0.5,1.1,,
2020-03-17,23:00:00,"Ostellato, Emilia Romagna, Italy",44.740896,11.941937,70,59.0,10.1,39.4,1026.6,15.0,70.0,,18.8,1.0,1.0,0.1,
2020-03-17,23:00:00,"Staffarda, Revello, Piemonte, Italy",44.7202123,7.4383072,65,67.2,,,1015.4,,65.0,,7.7,0.6,1.7,,
2020-03-17,23:00:00,"Borghetto, Pisa, Italy",43.71153749249,10.409876134347,74,43.8,34.3,,1025.1,28.0,74.0,,19.4,4.0,5.6,0.1,
2020-03-17,23:00:00,"De Amicis, Emilia Romagna, Italy",44.355422,11.720672,24,60.0,20.6,33.3,1027.4,24.0,46.0,,10.0,6.0,,,
