local date,local time,city,lat,lon,aqi,h,p,pm10,pm25,so2,t,w,wg,co,no2,o3,dew
2020-03-17,23:00:00,"Gorizia, Gorizia, Friuli Venezia Giulia, Italy",45.93701316,13.61633301,74,44.6,1034.8,23.0,74.0,0.1,19.3,1.0,4.2,,,,
2020-03-17,23:00:00,"Hera, Emilia Romagna, Italy",44.229397,12.08916,72,58.0,1028.3,27.0,72.0,,14.4,1.0,2.0,0.1,19.7,36.2,
2020-03-17,23:00:00,"Como Centro, Lombardia, Italy",45.81504217,9.06697886,91,29.3,1014.2,37.0,91.0,1.1,6.3,1.1,2.6,0.1,26.6,34.2,
2020-03-17,23:00:00,"Bassi, Firenze, Italy",43.784169388287,11.286879604208,59,37.6,1024.1,20.0,59.0,0.6,20.5,9.0,16.0,0.1,23.4,,
2020-03-19,06:00:00,"Solofra Zona Industriale, Solofra, Campania, Italy",40.83555,14.82459,6,1.0,1022.8,30.0,70.0,0.5,0.5,803.0,803.0,5.5,6.4,,
2020-03-19,06:00:00,"Ospedale via Vernieri, Salerno, Campania, Italy",40.68389,14.76972,34,1.0,1022.8,13.0,34.0,,0.5,803.0,803.0,1.0,17.5,,
2020-03-17,23:00:00,"Cantavenna, Gabiano, Piemonte, Italy",45.159718,8.2261891,78,87.5,1023.9,,78.0,,3.3,0.2,,0.1,,,
2020-03-17,23:00:00,"Diga, Ceresole Reale, Piemonte, Italy",45.4321772,7.2343067,13,,,,13,,0,4,,,,,
2020-03-17,23:00:00,"Rebaudengo, Torino, Piemonte, Italy",45.104332,7.6964231,76,72.0,1023.6,,76.0,,9.4,0.2,0.7,0.1,,,
2020-03-17,23:00:00,"Delta Cervia, Emilia Romagna, Italy",44.283857,12.332249,37,58.0,1028.3,26.0,68.0,5.1,14.4,1.0,2.0,0.1,10.6,37.4,
2020-03-17,23:00:00,"Cassino, Frosinone, Lazio, Italy",41.4907889,13.8333776,89,30.0,1033.6,34.0,89.0,0.3,22.2,7.0,9.0,0.1,11.5,14.7,
2020-03-17,23:00:00,"Parco Ferrari, Emilia Romagna, Italy",44.651569,10.907312,78,51.5,1025.5,32.0,78.0,,12.5,3.0,4.5,,38.9,35.4,
2020-03-17,23:00:00,"Parco Bertozzi, Emilia Romagna, Italy",44.285612,11.873396,57,60.0,1027.4,19.0,57.0,,10.0,6.0,,,10.1,34.6,
2020-03-17,23:00:00,"Cipro, Roma, Lazio, Italy",41.9071831,12.4466876,70,45.5,1021.6,29.0,70.0,0.6,20.0,1.5,5.0,0.1,11.9,18.7,
2020-03-17,23:00:00,"Sondrio via Paribelli, Lombardia, Italy",46.16785664,9.87921169,59,98.6,,14.0,59.0,,5.1,,,,9.6,37.0,
2020-03-17,23:00:00,"Corte Brugnatella, Emilia Romagna, Italy",44.734728,9.366928,39,64.0,1028.0,24.0,78.0,,6.6,2.0,4.0,0.1,7.4,39.4,
2020-03-17,23:00:00,"San Pietro Capofiume, Emilia Romagna, Italy",44.654232025,11.624819756,72,59.5,1029.3,26.0,72.0,,16.3,0.1,2.5,0.1,7.8,39.8,
2020-03-19,07:00:00,"Nocera Inferiore scuola Solimene, Nocera Inferiore, Campania, Italy",40.7404,14.64345,4,39.6,1023.8,33.0,78.0,2.6,13.5,0.6,4.3,3.7,24.0,,
2020-03-17,23:00:00,"Bergamo Via Meucci, Lombardia, Italy",45.691044,9.64366225,93,81.2,1025.4,30.0,93.0,,6.2,0.1,,0.1,17.4,37.4,
2020-03-17,23:00:00,"Via del Ponticello, Trieste, Friuli Venezia Giulia, Italy",45.62062,13.783761,55,7.0,1026.5,25.0,55.0,5.0,23.7,3.2,8.0,,,,
2020-03-16,23:00:00,"Castellarano, Emilia Romagna, Italy",44.516242,10.733905,59,51.5,1025.5,19.0,59.0,,12.5,3.0,4.5,,10.6,36.6,
