local date,local time,city,lat,lon,aqi,h,p,pm10,pm25,so2,t,w,wg,co,no2,o3,dew,r
2020-03-19,23:00:00,"Gorizia, Gorizia, Friuli Venezia Giulia, Italy",45.93701316,13.61633301,59,56.7,1022.6,21.0,59.0,0.1,16.4,0.1,1.9,,,,,
2020-03-19,23:00:00,"Hera, Emilia Romagna, Italy",44.229397,12.08916,89,65.0,1021.4,38.0,89.0,,15.5,0.5,3.5,0.1,17.0,42.7,,
2020-03-18,23:00:00,"Como Centro, Lombardia, Italy",45.81504217,9.06697886,85,40.2,1011.2,33.0,85.0,1.1,5.5,0.5,2.0,0.1,20.6,43.5,,
2020-03-19,23:00:00,"Bassi, Firenze, Italy",43.784169388287,11.286879604208,59,65.0,1017.2,19.0,59.0,0.9,18.4,,,0.1,17.0,,11.7,99.2
2020-03-20,18:00:00,"Solofra Zona Industriale, Solofra, Campania, Italy",40.83555,14.82459,7,1.0,1018.5,25.0,61.0,1.2,0.5,803.0,803.0,7.3,5.8,,,
2020-03-20,17:00:00,"Ospedale via Vernieri, Salerno, Campania, Italy",40.68389,14.76972,52,1.0,1018.5,18.0,52.0,,0.5,803.0,803.0,2.8,3.1,,,
2020-03-18,23:00:00,"Cantavenna, Gabiano, Piemonte, Italy",45.159718,8.2261891,109,36.5,1017.4,,109.0,,19.7,1.2,,0.1,,,,
2020-03-18,23:00:00,"Diga, Ceresole Reale, Piemonte, Italy",45.4321772,7.2343067,34,,,,34,,0,4,,,,,,
2020-03-18,23:00:00,"Rebaudengo, Torino, Piemonte, Italy",45.104332,7.6964231,89,65.2,1019.5,,89.0,,10.1,0.5,2.2,0.1,,,,
2020-03-19,23:00:00,"Delta Cervia, Emilia Romagna, Italy",44.283857,12.332249,51,76.0,1023.0,51.0,154.0,5.1,12.0,1.0,,0.1,8.7,42.7,8.0,
2020-03-19,23:00:00,"Cassino, Frosinone, Lazio, Italy",41.4907889,13.8333776,132,41.0,1031.8,51.0,132.0,0.5,21.3,7.0,10.0,0.1,11.0,18.3,,
2020-03-19,23:00:00,"Parco Ferrari, Emilia Romagna, Italy",44.651569,10.907312,76,54.5,1018.6,30.0,76.0,,13.8,3.1,0.6,,32.5,39.4,,
2020-03-19,23:00:00,"Parco Bertozzi, Emilia Romagna, Italy",44.285612,11.873396,80,63.8,1021.1,31.0,80.0,,14.0,1.6,2.4,,13.8,42.3,,
2020-03-19,23:00:00,"Cipro, Roma, Lazio, Italy",41.9071831,12.4466876,80,46.2,1019.3,30.0,80.0,0.3,20.0,4.4,9.6,0.1,13.8,18.7,,
2020-03-18,23:00:00,"Sondrio via Paribelli, Lombardia, Italy",46.16785664,9.87921169,57,73.0,1023.3,16.0,57.0,,8.8,3.0,2.0,,11.9,41.5,,
2020-03-19,23:00:00,"Corte Brugnatella, Emilia Romagna, Italy",44.734728,9.366928,49,75.0,1022.0,17.0,104.0,,7.2,0.6,2.0,0.1,5.5,49.2,,
2020-03-19,23:00:00,"San Pietro Capofiume, Emilia Romagna, Italy",44.654232025,11.624819756,99,89.6,1022.9,41.0,99.0,,8.2,2.0,,0.1,12.4,44.7,6.6,
2020-03-20,18:00:00,"Nocera Inferiore scuola Solimene, Nocera Inferiore, Campania, Italy",40.7404,14.64345,4,84.0,1020.1,38.0,76.0,2.9,11.6,1.0,1.0,3.7,6.1,,,
2020-03-18,23:00:00,"Bergamo Via Meucci, Lombardia, Italy",45.691044,9.64366225,99,81.2,1021.8,34.0,99.0,,7.3,0.1,,0.1,16.5,44.7,,
2020-03-19,23:00:00,"Via del Ponticello, Trieste, Friuli Venezia Giulia, Italy",45.62062,13.783761,65,43.0,1022.0,38.0,65.0,2.1,16.1,4.0,12.0,,,,,
2020-03-19,23:00:00,"Castellarano, Emilia Romagna, Italy",44.516242,10.733905,80,54.5,1018.6,26.0,80.0,,13.8,3.1,0.6,,13.3,43.5,,
2020-03-18,23:00:00,"Moggio , Lombardia, Italy",45.91279097,9.49754261,55,78.0,1021.8,16.0,55.0,,6.6,0.5,4.0,,7.4,48.8,,
2020-03-19,23:00:00,"Arenula, Roma, Lazio, Italy",41.8932669,12.4753855,55,46.2,1019.3,35.0,55.0,,20.0,4.4,9.6,,16.0,18.3,,
2020-03-19,23:00:00,"Ferentino, Frosinone, Lazio, Italy",41.6956788,13.2577285,89,50.5,1014.2,33.0,89.0,0.3,13.8,1.5,6.5,0.1,5.5,26.4,,
2020-03-19,23:00:00,"Giordani-farnese, Emilia Romagna, Italy",45.04884,9.693265,-,67.7,1017.9,40.0,99.0,,12.9,,,0.1,49.4,37.0,,
2020-03-19,23:00:00,"Pordenone Centro, Pordenone, Friuli Venezia Giulia, Italy",45.962624,12.655944,57,73.2,1024.0,19.0,57.0,,12.0,1.6,4.7,,,,,
2020-03-20,18:00:00,"Portici parco reggia, Portici, Campania, Italy",40.81588,14.34927,46,71.0,1020.0,27.0,71.0,,14.0,2.0,11.3,,2.9,45.7,9.0,
2020-03-17,23:00:00,"Lingotto, Torino, Piemonte, Italy",45.0314278,7.6517438,87,61.3,1019.7,,87.0,,11.4,0.3,2.6,,,,,
2020-03-18,23:00:00,"Molli, Borgomanero, Piemonte, Italy",45.6989656,8.4606044,65,62.0,1022.5,,65.0,,11.1,2.3,6.3,0.1,,,,
2020-03-18,23:00:00,"Cornale , Lombardia, Italy",45.04008561,8.91415717,114,7.0,,,114.0,,9.5,0.2,0.4,0.1,15.1,43.9,,
2020-03-19,23:00:00,"Guidonia, Roma, Lazio, Italy",41.9939694,12.7245045,80,47.0,1019.6,30.0,80.0,0.3,17.0,,,,10.6,22.4,,
2020-03-18,23:00:00,"Lecco Via Sora, Lombardia, Italy",45.86375372,9.39995481,63,78.0,1021.8,20.0,63.0,,6.6,0.5,4.0,,16.0,43.9,,
2020-03-19,23:00:00,"Cappiello, Livorno, Italy",43.517506738783,10.321031260215,55,59.0,1022.0,15.0,55.0,,17.0,0.5,,0.1,18.3,28.9,9.0,
2020-03-19,23:00:00,"Cento, Emilia Romagna, Italy",44.733011,11.299659,45,90.0,1020.5,39.0,85.0,,10.0,3.0,2.0,0.1,23.8,44.7,,
2020-03-19,23:00:00,"Poggibonsi, Poggibonsi, Italy",43.470437486833,11.141284549758,59,21.5,1019.8,19.0,59.0,,21.6,4.5,8.5,,14.7,,,
2020-03-20,18:00:00,"Benevento Campo Sportivo, Benevento, Campania, Italy",41.11575,14.77998,46,69.0,1021.1,28.0,59.0,,15.0,0.7,2.0,,5.4,45.6,,
2020-03-18,23:00:00,"Varese Copelli, Lombardia, Italy",45.8169745,8.82024911,85,59.7,1025.5,28.0,85.0,,10.5,6.0,7.0,0.1,31.6,,,
2020-03-18,23:00:00,"Schivenoglia , Lombardia, Italy",45.01688067,11.07609728,97,88.0,1022.5,42.0,97.0,2.1,7.2,2.0,3.5,0.1,13.8,48.0,,
2020-03-19,23:00:00,"Besenzone, Emilia Romagna, Italy",44.9895,10.019201,85,69.7,1020.5,28.0,85.0,5.1,11.9,0.2,0.7,0.1,17.9,43.1,,
2020-03-19,23:00:00,"Saragat, Emilia Romagna, Italy",44.925963,10.371914,95,50.2,1008.4,35.0,95.0,5.1,16.9,,0.1,,18.3,34.2,,
2020-03-19,23:00:00,"Porto San Vitale, Emilia Romagna, Italy",44.443746,12.253247,124,84.0,1023.6,52.0,124.0,5.1,12.2,4.0,6.0,0.1,29.8,26.9,,
2020-03-20,18:00:00,"Istituto Manzoni, Caserta, Campania, Italy",41.08444,14.34472,53,59.9,1013.5,19.0,53.0,,16.1,2.0,,,3.7,43.6,8.3,
2020-03-18,23:00:00,"Alpini, Cuneo, Piemonte, Italy",44.3703176,7.5251893,0,68.0,1021.0,,65.0,,4.4,0.3,4.0,0.1,,,,
2020-03-20,17:00:00,"Museo Nazionale, Napoli, Campania, Italy",40.85419,14.25133,51,72.0,1020.9,19.0,51.0,,14.4,1.0,,5.5,9.9,,,
2020-03-18,23:00:00,"Casirate d`Adda , Lombardia, Italy",45.49822794,9.55624181,132,76.0,1022.0,50.0,132.0,,9.0,2.8,,,30.2,45.1,5.0,
2020-03-18,23:00:00,"San Francesco, Emilia Romagna, Italy",44.542152405,10.819877625,35,55.0,1022.0,35.0,68.0,,11.1,3.0,4.0,,32.0,33.3,,
2020-03-18,23:00:00,"Spinadesco , Lombardia, Italy",45.15047339,9.93059842,127,75.0,1019.7,53.0,127.0,,8.8,0.3,0.5,,25.2,41.9,,
2020-03-18,23:00:00,"Darfo , Lombardia, Italy",45.87460256,10.17736553,87,75.5,1022.3,33.0,87.0,,9.1,1.0,4.5,,21.1,45.5,,
2020-03-18,23:00:00,"Acquapendente, Viterbo, Lazio, Italy",42.7477229,11.8630202,61,74.6,1023.1,19.0,61.0,0.4,13.5,2.6,5.0,0.1,3.2,30.1,,
2020-03-20,18:00:00,"San Vitaliano Scuola Elementare Marconi, San Vitaliano, Campania, Italy",40.92431,14.48133,45,69.0,1021.1,57.0,106.0,3.6,15.0,0.7,2.0,,7.3,44.8,,
2020-03-18,23:00:00,"Sesto San Giovanni , Lombardia, Italy",45.53476819,9.23610903,161,67.9,1020.5,,161.0,,11.6,,,0.1,16.5,,,
2020-03-19,23:00:00,"Gavello, Emilia Romagna, Italy",44.928769,11.178946,99,78.0,1022.8,40.0,99.0,,14.4,8.0,11.0,0.1,9.6,41.9,,
2020-03-19,23:00:00,"Leonessa, Rieti, Lazio, Italy",42.5660721,12.962445,50,65.0,1025.0,14.0,50.0,0.5,6.0,2.0,15.4,0.1,2.3,35.8,0.0,
2020-03-18,23:00:00,"Lodi S. Alberto, Lombardia, Italy",45.30278678,9.49528589,132,81.5,1019.8,54.0,132.0,,10.0,0.1,0.6,,30.2,43.1,,
2020-03-19,23:00:00,"Francia, Roma, Lazio, Italy",41.9644063,12.6684397,78,44.3,1021.1,31.0,78.0,0.2,18.7,1.6,4.6,,12.8,17.1,,
2020-03-19,23:00:00,"Remesina, Emilia Romagna, Italy",44.800377,10.884255,38,71.0,1023.7,34.0,50.0,,13.8,0.5,3.0,,25.6,37.8,,
2020-03-18,23:00:00,"Parco Resistenza, Emilia Romagna, Italy",44.215153,12.04816,74,63.8,1021.1,31.0,74.0,,14.0,1.6,2.4,0.1,27.9,42.7,,
2020-03-19,23:00:00,"p.le Rosmini, Trieste, Friuli Venezia Giulia, Italy",45.640486,13.766081,55,96.7,1022.7,18.0,55.0,0.5,11.0,0.5,,,,,10.5,99.2
2020-03-19,23:00:00,"Barco Nuova, Emilia Romagna, Italy",44.85998,11.61,117,87.0,1022.6,47.0,117.0,,10.0,1.0,,0.1,20.2,47.2,,
2020-03-19,23:00:00,"Malcantone, Emilia Romagna, Italy",44.890934,10.399611,82,50.2,1008.4,36.0,82.0,5.1,16.9,,0.1,,20.2,33.8,,
2020-03-19,23:00:00,"San Lazzaro, Emilia Romagna, Italy",44.467189,11.416601,63,71.5,1019.4,24.0,63.0,,14.0,0.1,1.3,0.1,23.4,34.2,,
2020-03-19,23:00:00,"Rieti 1, Rieti, Lazio, Italy",42.404509,12.8567281,61,65.0,1025.0,22.0,61.0,0.3,6.0,2.0,15.4,0.1,2.3,27.3,0.0,
2020-03-18,23:00:00,"Aldo Mei, Beinasco, Piemonte, Italy",45.0305638,7.595251,95,55.9,1023.6,,95.0,,8.8,0.8,1.8,,,,,
2020-03-19,23:00:00,"Marecchia, Emilia Romagna, Italy",44.064308167,12.552490234,104,73.5,1023.0,43.0,104.0,,13.0,1.8,,0.1,32.0,39.8,8.5,
2020-03-19,23:00:00,"Villa ada, Roma, Lazio, Italy",41.9328321,12.5012473,65,47.1,1019.2,31.0,65.0,0.4,20.0,4.8,10.8,0.1,13.3,19.1,,
2020-03-19,23:00:00,"Badia, Emilia Romagna, Italy",44.658226,10.289367,63,50.2,1008.4,23.0,63.0,,16.9,,0.1,,9.2,45.1,,
2020-03-19,23:00:00,"Tagliati, Emilia Romagna, Italy",44.670378,10.9623,89,54.5,1018.6,36.0,89.0,,13.8,3.1,0.6,,22.9,39.4,,
2020-03-17,23:00:00,"Castelluccio, Emilia Romagna, Italy",44.14044,10.917166,31,58.0,1026.2,11.0,30.0,,10.5,6.0,14.0,,3.7,30.9,,
2020-03-20,17:00:00,"Polla Area Tritovagliatore, Campania, Italy",40.470596,15.298722999999995,9,1.0,1018.4,17.0,54.0,0.1,0.5,803.0,803.0,9.1,4.7,,,
2020-03-19,23:00:00,"Savignano Di Rigo, Emilia Romagna, Italy",43.927406,12.224794,-,58.0,1022.2,17.0,85.0,,15.5,1.0,4.0,,4.2,43.5,,
2020-03-18,23:00:00,"Calusco , Lombardia, Italy",45.69043647,9.48426111,87,67.5,1023.0,33.0,87.0,1.1,10.8,0.5,0.5,0.1,17.4,41.5,,
2020-03-19,23:00:00,"Capannori, Capannori, Italy",43.838363142651,10.573105456095,89,48.6,1022.9,33.0,89.0,1.4,18.5,1.0,1.6,,18.3,,,
2020-03-20,18:00:00,"Avellino Scuola Alighieri, Avellino, Campania, Italy",40.91882,14.78553,5,69.4,1021.1,39.0,98.0,,14.8,0.7,2.0,4.6,9.9,,,
2020-03-18,23:00:00,"Cremona Fatebenefratelli, Lombardia, Italy",45.14254358,10.04384767,134,75.0,1019.7,54.0,134.0,1.1,8.8,0.3,0.5,0.1,43.0,37.8,,
2020-03-19,23:00:00,"Via Pitacco, Trieste, Friuli Venezia Giulia, Italy",45.62420762,13.78026035,57,51.0,1021.0,19.0,57.0,1.1,14.4,5.0,10.0,,,,,
2020-03-19,23:00:00,"Cittadella, Emilia Romagna, Italy",44.792419,10.330985,76,50.2,1008.4,36.0,76.0,,16.9,,0.1,,33.4,39.0,,
