local date,lat,lon,aqi,co,h,no2,o3,p,pm10,pm25,so2,t,w,wg
2020-03-30,41.9071831,12.446687599999999,65,0.1,65.4,7.8,19.9,1009.4,56.0,65.0,0.5,17.2,1.2,4.8
2020-03-30,41.8932669,12.4753855,58,,65.4,7.8,20.4,1009.4,58.0,25.0,,17.2,1.2,4.8
2020-03-30,41.9939694,12.7245045,61,,62.0,6.0,19.5,1009.9,46.0,61.0,1.0,15.5,,
2020-03-30,41.96440629999999,12.6684397,65,,61.2,6.4,19.5,1010.9,45.0,65.0,1.0,16.8,1.5,4.2
2020-03-30,41.9328321,12.501247300000001,70,0.1,65.4,10.6,18.7,1009.4,55.0,70.0,0.5,17.2,1.2,4.8
2020-03-30,41.9248746,12.4934413,65,0.1,65.4,4.6,18.3,1009.4,56.0,65.0,0.5,17.2,1.2,4.8
2020-03-30,41.7272528,13.0037837,65,0.1,66.7,3.7,26.0,1011.3,32.0,65.0,0.2,14.5,5.5,13.5
2020-03-30,41.936339700000005,12.654414599999999,70,,62.0,5.1,19.5,1009.9,50.0,70.0,1.0,15.5,,
2020-03-30,41.883706,12.3337009,82,0.1,65.4,5.5,19.9,1009.4,63.0,82.0,0.2,17.2,1.2,4.8
2020-03-31,41.883706,12.3337009,55,0.1,37.9,5.1,22.8,1013.4,19.0,55.0,0.2,10.0,6.7,16.1
2020-03-31,41.936339700000005,12.654414599999999,46,,42.0,6.9,18.7,1013.8,14.0,46.0,0.3,8.7,,
2020-03-31,41.7272528,13.0037837,63,0.1,31.6,5.5,26.0,1014.3,24.0,63.0,0.2,8.7,3.4,12.0
2020-03-31,41.9248746,12.4934413,46,0.1,37.9,3.7,19.9,1013.4,14.0,46.0,0.2,10.0,6.7,16.1
2020-03-31,41.8932669,12.4753855,19,,37.9,10.6,17.1,1013.4,19.0,9.0,,10.0,6.7,16.1
2020-03-31,41.96440629999999,12.6684397,42,,36.5,9.6,18.7,1014.8,20.0,42.0,0.3,9.5,12.0,21.8
2020-03-31,41.9939694,12.7245045,34,,42.0,7.8,18.7,1013.8,15.0,34.0,0.3,8.7,,
2020-03-31,41.9071831,12.446687599999999,46,0.1,37.9,9.2,20.8,1013.4,15.0,46.0,0.2,10.0,6.7,16.1
2020-03-31,41.9328321,12.501247300000001,34,0.1,37.9,13.3,17.5,1013.4,16.0,34.0,0.2,10.0,6.7,16.1
2020-04-01,41.936339700000005,12.654414599999999,42,,55.0,5.1,30.9,1011.5,13.0,42.0,0.3,10.5,,
2020-04-01,41.9328321,12.501247300000001,34,0.1,69.0,10.1,17.5,1010.3,10.0,34.0,0.2,8.3,2.0,3.0
2020-04-01,41.883706,12.3337009,46,0.1,51.0,1.9,31.7,1011.6,12.0,46.0,0.1,13.8,6.0,11.0
2020-04-01,41.7272528,13.0037837,42,0.1,69.0,3.2,26.0,1014.3,11.0,42.0,0.2,4.4,4.0,6.0
2020-04-01,41.8932669,12.4753855,,,,,,,,,,,,
2020-04-01,41.96440629999999,12.6684397,34,,49.0,5.5,30.9,1013.1,13.0,34.0,0.3,12.2,4.0,5.0
2020-04-01,41.9939694,12.7245045,46,,55.0,6.0,30.9,1011.5,12.0,46.0,0.3,10.5,,
2020-04-01,41.9071831,12.446687599999999,34,0.1,51.0,5.5,32.1,1011.6,10.0,34.0,0.2,13.8,6.0,11.0
2020-04-01,41.9248746,12.4934413,38,0.1,51.0,1.4,28.1,1011.6,12.0,38.0,0.2,13.8,6.0,11.0
2020-04-02,41.883706,12.3337009,95,0.1,49.0,6.4,31.7,1008.8,35.0,95.0,0.4,14.4,2.5,8.0
2020-04-02,41.936339700000005,12.654414599999999,59,,50.0,8.3,30.9,1009.2,19.0,59.0,0.5,13.3,,
2020-04-02,41.7272528,13.0037837,61,0.1,59.0,4.6,26.0,1000.6,21.0,61.0,0.2,10.2,2.0,8.0
2020-04-02,41.9248746,12.4934413,50,0.1,49.0,2.8,28.1,1008.8,16.0,50.0,0.2,14.4,2.5,8.0
2020-04-02,41.96440629999999,12.6684397,46,,50.0,10.6,30.9,1009.2,19.0,46.0,0.5,13.3,,
2020-04-02,41.9939694,12.7245045,59,,50.0,4.6,30.9,1009.2,19.0,59.0,0.5,13.3,,
2020-04-02,41.8932669,12.4753855,42,,49.0,11.0,28.5,1008.8,16.0,42.0,,14.4,2.5,8.0
2020-04-02,41.9071831,12.446687599999999,50,0.1,49.0,9.6,32.1,1008.8,15.0,50.0,0.2,14.4,2.5,8.0
2020-04-02,41.9328321,12.501247300000001,46,0.1,49.0,10.1,17.5,1008.8,14.0,46.0,0.2,14.4,2.5,8.0
2020-04-03,41.7272528,13.0037837,78,0.1,42.6,8.3,26.0,1014.5,28.0,78.0,0.2,14.6,4.0,10.2
2020-04-03,41.883706,12.3337009,95,0.1,32.3,6.4,28.5,1012.6,36.0,95.0,0.3,18.0,4.3,10.6
2020-04-03,41.936339700000005,12.654414599999999,63,,27.4,9.6,25.6,1012.9,21.0,63.0,0.5,17.7,,
2020-04-03,41.9248746,12.4934413,57,0.1,32.3,3.7,26.4,1012.6,19.0,57.0,0.2,18.0,4.3,10.6
