local date,local time,location,lat,lon,aqi,h,p,pm10,pm25,so2,t,w,wg,co,no2,o3,dew,r
2020-03-22,23:00:00,"88, Via Duca d'Aosta, Sant'Andrea / Štandrež, Gorizia, UTI Collio - Alto Isonzo, Friuli Venezia Giulia, 34170, Italia",45.93701316,13.61633301,34,23.5,1026.8,8.0,34.0,1.3,8.6,4.0,11.0,,,,,
2020-03-22,23:00:00,"Impianto Hera Ambiente, Via Enrico Fermi, Bagnolo, Forlì, Unione di Comuni della Romagna Forlivese, Forlì-Cesena, Emilia-Romagna, 47100, Italia",44.229397,12.08916,50,42.0,1027.4,20.0,50.0,,6.9,0.5,11.0,0.1,5.5,29.3,,
2020-03-21,23:00:00,"Al Camino, Via Borgo Vico, Bignanico, Vico, Como, Lombardia, 22100, Italia",45.81504217,9.06697886,59,50.0,1013.2,22.0,59.0,0.6,4.4,5.0,9.0,0.1,14.2,47.6,,
2020-03-22,23:00:00,"Scuola Primaria Giosuè Carducci, Viale Ugo Bassi, Campo di Marte, Quartiere 2, Firenze, Toscana, 50137, Italia",43.784169388287,11.286879604208,53,29.6,1019.7,16.0,53.0,0.8,8.8,,,0.1,8.3,,-8.0,
2020-03-23,17:00:00,"SP163, Sant'Agata Irpina, Solofra, Avellino, Campania, 83025, Italia",40.83555,14.82459,6,1.0,1016.4,26.0,59.0,0.8,0.5,,,6.4,1.1,,,
2020-03-23,16:00:00,"Via del Carmine, Fratte, Brignano Inferiore, Salerno, Campania, 84126, Italia",40.68389,14.76972,55,1.0,1016.4,11.0,55.0,,0.5,,,0.2,2.7,,,
2020-03-21,23:00:00,"Cantavenna, Gabiano, Alessandria, Piemonte, Italia",45.159718,8.2261891,80,42.0,1023.4,,80.0,,6.8,0.2,,0.1,,,,
2020-03-21,23:00:00,"SP460, Borgiallo, Ceresole Reale, Torino, Piemonte, Italia",45.4321772,7.2343067,38,,,,38,,0,4,,,,,,
2020-03-21,23:00:00,"22/A, Piazza Conti di Rebaudengo, Rebaudengo, Torino, Piemonte, 10155, Italia",45.104332,7.6964231,70,61.2,1022.7,,70.0,,6.9,4.7,15.2,0.1,,,,
2020-03-21,23:00:00,,44.283857,12.332249,39,71.0,1018.0,30.0,102.0,5.1,12.0,6.1,,0.1,3.7,39.0,7.0,
