local date,local time,location,lat,lon,aqi,co,h,no2,o3,p,pm25,so2,t,w,wg,pm10,dew,r,wd,d,pm1
2020-03-26,04:00:00,"East 36th Street North, Walt Whitman, Tulsa, Tulsa County, Oklahoma, 74115, United States of America",36.206699,-95.976402,38,1.5,74.0,2.8,34.4,1002.8,38.0,1.5,19.4,0.2,6.0,,,,,,
2020-03-26,04:00:00,"165th Street, East Hammond, Osborn, Hammond, Lake County, Indiana, 46323, United States of America",41.594427,-87.495044,56,,90.0,,,1009.4,56.0,,7.7,2.5,8.0,,,,,,
2020-03-26,04:00:00,"Quabbin Tower, Observation Tower Trail, West Ware, Ware, Hampshire County, Massachusetts, United States of America",42.298279,-72.333904,38,2.0,70.8,1.0,31.2,1018.7,38.0,1.5,-1.7,0.8,4.4,,,,,,
2020-03-26,05:00:00,"James Street, Mill River, Barnesville, New Haven, New Haven County, Connecticut, 06513, United States of America",41.3011,-72.9028,28,1.6,76.0,5.5,10.2,1019.0,28.0,,3.8,1.0,5.0,10.0,,,,,
2020-03-26,04:00:00,"State Park Lane, Delwood Beach, Upper Grand Lagoon, Bay County, Florida, 32411, United States of America",30.130555555556,-85.731388888889,38,,66.0,,11.0,1013.9,38.0,,20.1,0.6,6.3,,,,,,
2020-03-26,03:00:00,"Broadmoor Subdivision, Rapid City, Pennington County, South Dakota, 57702-8170, United States of America",44.087397,-103.273777,19,,95.0,,,1005.7,19.0,,0.3,0.6,1.6,17.0,,,,,
2020-03-26,02:00:00,"184th Street Southwest, Hesnault, Ward County, North Dakota, United States of America",47.940861,-101.571583,20,,92.0,1.0,20.0,1008.8,8.0,1.5,-5.0,3.0,7.7,4.0,-6.0,,,,
2020-03-26,01:00:00,"Helen Meyer Community Center, New Forest Drive, Spring Valley, Clark County, Nevada, 89147-4111, United States of America",36.10638,-115.25333,20,0.1,43.0,2.8,19.5,1008.3,11.0,,9.7,8.0,18.0,6.0,,,,,
2020-03-26,02:00:00,"1159, Redwood Avenue, Hillsdale, El Cajon, San Diego County, California, 92020, United States of America",32.7912,-116.9421,27,,93.0,14.9,27.2,1012.7,12.0,,10.0,0.7,1.0,,,,,,
2020-03-26,05:00:00,"926, East Monument Street, Penn-Fallsway, Baltimore, Maryland, 21202, United States of America",39.2981,-76.604698,38,,81.0,26.9,,1018.6,38.0,,6.0,,,,3.0,,,,
2020-03-25,08:00:00,"Park Drive, Mystic Village at Lake Mija, Todville, Seabrook, Harris County, Texas, 77586, United States of America",29.5830473,-95.0155437,52,2.3,84.8,18.4,14.5,1015.8,52.0,,23.8,1.4,2.2,,,,,,
2020-03-26,03:00:00,"Powell Street, Tyler, Paducah, McCracken County, Kentucky, 42003, United States of America",37.0581,-88.5725,45,,76.0,,17.6,1011.8,45.0,,10.2,1.5,0.2,,,,,,
2020-03-26,04:00:00,"5824, Widewaters Parkway, Widewaters Park, DeWitt, Town of DeWitt, Onondaga County, New York, 13214, United States of America",43.052351,-76.059185,22,,79.0,,17.6,1015.4,22.0,,37.1,0.2,0.1,,,,,,
2020-03-26,04:00:00,"Merrick Avenue North, East Meadow, Nassau County, New York, 11590, United States of America",40.743156,-73.585513,27,2.3,84.0,17.6,18.0,1015.9,27.0,,36.2,0.4,3.0,,,,,,
2020-03-26,04:00:00,"Asylum Street, The Canal District, Oak Hill, Worcester, Worcester County, Massachusetts, 01613, United States of America",42.263877,-71.794186,34,2.5,91.2,6.5,31.2,1015.9,34.0,1.5,-0.5,2.8,10.1,,,,,,
2020-03-26,05:00:00,"Big Meadows Air Quality Road, Big Meadows, Madison County, Virginia, United States of America",38.5228,-78.43487,18,,98.0,2.8,17.5,1016.9,9.0,0.2,1.4,0.2,0.6,,,,,,
2020-03-26,02:00:00,"Green Valley, Pima County, Arizona, 85614-2605, United States of America",31.87952,-110.99644,38,1.3,20.5,4.4,37.6,1007.9,9.0,,16.9,2.0,1.6,2.0,,,,,
2020-03-26,05:00:00,"Édifice Le Parallèle, Rue Bédard, Lachute, Argenteuil, Laurentides, Québec, J8H 3Y4, Canada",45.6520586,-74.3398015,24,0.2,86.0,,24.0,1014.5,16.0,,1.0,1.0,7.7,,-1.0,,,,
2020-03-26,02:00:00,"Mendocino County Library, East Standley Street, Downtown, Ukiah, Mendocino County, California, 95482, United States of America",39.15047,-123.20655,21,,93.0,,4.8,1017.6,21.0,,2.0,1.5,9.2,,1.0,,,,
2020-03-26,02:00:00,"7705, English Road, Calipatria, Imperial County, California, 92257, United States of America",33.21349,-115.54514,30,,41.0,,30.4,1011.6,,,20.0,13.5,23.0,5.0,,,,,
2020-03-26,03:00:00,"Viking Lake Road, Montgomery County, Iowa, 51573, United States of America",40.970001,-95.044998,28,,100.0,,10.4,1007.1,28.0,,7.0,7.2,10.2,,7.0,,,,
2020-03-26,04:00:00,"1688, Buchanan Street, Hyde Park, St. Louis, City of Saint Louis, Missouri, 63107, United States of America",38.656449,-90.198548,61,2.4,99.0,17.6,8.0,1010.6,61.0,1.5,7.7,1.0,2.5,,,,,,
2020-03-26,04:00:00,"5245, Squadron Road, Magenta, Monroe, Ouachita Parish, Louisiana, 71203, United States of America",32.509713,-92.046093,12,,91.0,,12.1,1012.1,,,15.3,2.0,12.8,,14.0,,,,
2020-03-26,04:00:00,"Haley Road, Shelby Farms, Memphis, Shelby County, Tennessee, 38134, United States of America",35.151588,-89.85022,24,,97.0,,14.5,1010.9,24.0,,9.4,0.1,1.1,,,,,,
2020-03-26,02:00:00,"Westside Elementary School, Southwest G Street, Madras, Jefferson County, Oregon, 97741, United States of America",44.63062,-121.13165,37,,76.3,,,1022.7,37.0,,-3.1,1.5,3.2,,,,,,
2020-03-26,03:00:00,"Ellis County, Texas, 76651, United States of America",32.1754284,-96.8701803,62,,91.1,2.5,14.5,1010.8,62.0,,18.8,5.6,9.6,,,,,,
2020-03-26,05:00:00,"Shields Drive, Maple Lane, South Bend, Saint Joseph County, Indiana, 46617:46635, United States of America",41.6967,-86.2147,44,,,1.0,28.9,,44.0,,-17.7,,,,,,,,
2020-03-26,05:00:00,"William H Owen Elementary School, Raeford Road, Oakdale, Fayetteville, Cumberland County, North Carolina, 28304, United States of America",35.041401,-78.953102,5,,83.0,,,1018.4,17.0,,9.4,3.1,7.7,5.0,,,,,
